epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.91593,1.77624,3.06959,3.36201,0.0096,5.39178,0.64626,0.29044,0.33022,0.21857,0.59776,0.27758,0.2878,0.17703,1.20147,2.56407,2.70205,0.00875,0,0.00027151,0.00027151,0.00027151
2,14.6957,1.29598,2.08533,1.70723,0.00598,2.0944,0.56755,0.74216,0.71338,0.51228,0.63935,0.63596,0.68447,0.46722,1.12895,1.91278,1.57316,0.00802,0,0.000551793,0.000551793,0.000551793
3,19.337,1.20918,1.81225,1.24029,0.00551,1.07628,0.75872,0.78299,0.81321,0.58705,0.74515,0.77889,0.78555,0.56409,1.0751,1.75875,1.06104,0.00749,0,0.000826416,0.000826416,0.000826416
4,23.9556,1.22118,1.7241,1.07043,0.00552,0.79234,0.72847,0.80526,0.81346,0.59503,0.70866,0.76654,0.76443,0.52097,1.14936,1.74892,1.02022,0.00793,0,0.00109538,0.00109538,0.00109538
5,28.6241,1.22731,1.73936,0.99663,0.0054,0.66808,0.81153,0.82605,0.85573,0.60159,0.78961,0.80546,0.81715,0.57693,1.13753,1.6782,0.93384,0.00832,0,0.00135869,0.00135869,0.00135869
6,33.2269,1.23183,1.6726,0.94414,0.00561,0.61471,0.77902,0.82262,0.84806,0.657,0.75714,0.81561,0.81583,0.57983,0.99905,1.57308,0.85196,0.00659,0,0.00135826,0.00135826,0.00135826
7,37.952,1.17853,1.61253,0.8899,0.00515,0.59671,0.84305,0.83714,0.88421,0.66819,0.82621,0.8234,0.85031,0.61615,0.99998,1.46498,0.81474,0.00672,0,0.00134412,0.00134412,0.00134412
8,42.6288,1.1488,1.54043,0.87973,0.00513,0.55321,0.7704,0.86325,0.85707,0.63914,0.77191,0.85207,0.83951,0.60013,1.02232,1.73819,0.83738,0.00714,0,0.00132997,0.00132997,0.00132997
9,47.2997,1.09938,1.47886,0.8305,0.00465,0.56652,0.82242,0.85598,0.86938,0.63498,0.83452,0.83763,0.85159,0.62542,1.24706,1.5141,0.77834,0.0079,0,0.00131582,0.00131582,0.00131582
10,51.9876,1.10146,1.48678,0.80105,0.00471,0.55732,0.85892,0.87291,0.88551,0.66929,0.85175,0.8579,0.84708,0.5837,1.09974,1.55523,0.73324,0.00834,0,0.00130168,0.00130168,0.00130168
11,56.7655,1.1094,1.42896,0.79081,0.00488,0.54921,0.85245,0.86656,0.88795,0.69796,0.83858,0.85305,0.84715,0.61196,0.89194,1.48015,0.71026,0.00588,0,0.00128753,0.00128753,0.00128753
12,61.5455,1.02435,1.38343,0.76733,0.00466,0.52067,0.86032,0.87531,0.90269,0.71018,0.85837,0.86868,0.87437,0.62994,0.87302,1.51546,0.66069,0.00582,0,0.00127338,0.00127338,0.00127338
13,66.5166,1.04297,1.35781,0.75357,0.00455,0.51975,0.84771,0.85581,0.88742,0.69413,0.83321,0.83488,0.85334,0.63079,0.9576,1.55532,0.69662,0.00632,0,0.00125923,0.00125923,0.00125923
